Zone ID,FC Abbreviation,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time,Dispatch Date / Time
9c73d854-ad41-4b67-bce8-7cbe26f668d1,LA,NBY: FRIDAY PM LAX,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
8e3bce01-13ca-40ff-8037-191c0a9287b6,LA,TUS: WEDNESDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 02:00 PM","Monday, 01/02 - 11:00 AM","Monday, 01/02 - 03:00 PM"
a8d10ff2-da55-4024-b8c8-ed7ca6312054,BWI,PHL: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
46fda255-3740-48c6-b256-9888d388dc1f,BWI,PHL: TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
1a09d9c3-d8c9-44ec-83fe-b5203c06f017,BWI,PHL: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
1c451e98-f8fc-4869-8507-a4d83de17d67,BWI,PHL: MONDAY PM,New Years,1/1/2023,1/2/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
92c18fb7-6c28-4971-834e-613a1ab67bd5,BWI,PHL: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
67a42175-d929-4290-a586-1885db0d7a09,LA,SBY: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Tuesday, 01/03 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
33687397-e353-4ca2-9386-f7d04f223ffc,LA,SBY: TUESDAY / WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Monday, 01/02 - 03:00 PM"
e7439bbf-ff7b-4982-b43a-373d5e025877,LA,SBY: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 03:00 PM"
8a58e18a-97b7-47ff-8731-2a886e1fd58f,LA,SBY: Employee Warehouse Pick Up,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
beb5b501-26c0-4f45-a836-c1b5eb9a69c8,LA,SBY: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
3c560c07-1713-4c80-8866-2ffb74ad2487,BWI,EWR: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
556535a1-e79e-4057-962a-bfb40e6b726c,BWI,EWR: TUESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
